schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.5055,0,1574.6966,1.7193,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.5187,0,1559.5323,1.7192,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.4916,0,1549.2641,1.6887,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.5036,0,1542.8649,1.7724,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.4992,156,1575.2835,1.687,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.518,156,1560.7685,1.6883,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.5023,156,1564.229,1.7522,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.5123,156,1531.7356,1.7678,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.4865,312,1532.7492,1.7649,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.5103,312,1581.4174,1.7783,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.4902,312,1549.1503,1.7012,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.4921,312,1575.6507,1.7776,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4806,468,1537.3007,1.7566,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.5172,468,1582.7397,1.73,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,300,rightFront,0.516,468,1537.3474,1.7456,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,300,rightBack,0.4881,468,1533.436,1.7742,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,400,leftFront,0.4976,624,1579.9095,1.754,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,400,leftBack,0.4867,624,1563.4716,1.7134,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,400,rightFront,0.498,624,1537.3964,1.728,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,400,rightBack,0.4925,624,1587.1998,1.6993,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,500,leftFront,0.4862,780,1575.4229,1.6877,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,500,leftBack,0.5107,780,1564.7442,1.6841,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,500,rightFront,0.492,780,1572.7368,1.6941,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,500,rightBack,0.4845,780,1583.0643,1.746,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,600,leftFront,0.5146,936,1574.475,1.6826,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,600,leftBack,0.4866,936,1561.4884,1.7115,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,600,rightFront,0.4977,936,1565.7096,1.7048,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,600,rightBack,0.4937,936,1575.0646,1.7038,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,700,leftFront,0.4812,1092,1561.2514,1.7405,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,700,leftBack,0.502,1092,1571.5034,1.7471,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,700,rightFront,0.5097,1092,1545.4375,1.7798,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,700,rightBack,0.4946,1092,1535.4199,1.748,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,800,leftFront,0.4898,1248,1567.4945,1.7362,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,800,leftBack,0.4832,1248,1588.9705,1.7536,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,800,rightFront,0.515,1248,1530.6894,1.6948,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,800,rightBack,0.5,1248,1552.9155,1.7287,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,900,leftFront,0.4924,1404,1583.1683,1.684,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,900,leftBack,0.5014,1404,1562.4757,1.695,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,900,rightFront,0.4941,1404,1570.4692,1.7658,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,900,rightBack,0.5122,1404,1535.2159,1.694,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftFront,0.515,1560,1567.9805,1.7008,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftBack,0.5,1560,1578.1451,1.7563,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightFront,0.4978,1560,1538.8925,1.7682,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightBack,0.4875,1560,1558.4376,1.7425,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftFront,0.491,1716,1566.5638,1.7205,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftBack,0.4933,1716,1561.5612,1.7596,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightFront,0.5146,1716,1581.7119,1.7728,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightBack,0.5126,1716,1570,1.6836,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftFront,0.4911,1872,1542.4922,1.6832,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftBack,0.4932,1872,1540.6326,1.7682,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightFront,0.5006,1872,1550.4224,1.744,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightBack,0.4864,1872,1538.9352,1.7237,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftFront,0.4915,2028,1543.3048,1.7261,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftBack,0.5118,2028,1549.3161,1.7732,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightFront,0.4968,2028,1554.6731,1.7645,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightBack,0.495,2028,1557.7429,1.713,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftFront,0.5164,2184,1555.9169,1.6938,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftBack,0.5089,2184,1554.4059,1.696,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1400,rightFront,0.5133,2184,1587.0164,1.6981,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1400,rightBack,0.4996,2184,1530.5626,1.6886,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1500,leftFront,0.5166,2340,1565.4461,1.7058,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1500,leftBack,0.4878,2340,1535.1313,1.7397,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1500,rightFront,0.5191,2340,1563.5135,1.7723,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1500,rightBack,0.4873,2340,1555.1236,1.7444,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1600,leftFront,0.5106,2496,1545.5565,1.7497,RUN_USING_ENCODER,12.408
1,00000000-aaaa-0000-0000-000000000009,ExampleOpMode,2025-03-15T10:00:00Z,1600,leftBack,0.518,2496,1582.525,1.7391,RUN_USING_ENCODER,12.408
